-DOCSTART- -X- -X- O
adaptation O O I-RELATIONSHIP
of O O O
the O O O
george O O B-ORIGIN
abbott O O I-ORIGIN
broadway O O I-ORIGIN
musical O O I-ORIGIN
about O O O
a O O B-PLOT
washington O O I-PLOT
senators O O I-PLOT
fan O O I-PLOT
who O O I-PLOT
makes O O I-PLOT
a O O I-PLOT
pact O O I-PLOT
with O O I-PLOT
the O O I-PLOT
devil O O I-PLOT
to O O I-PLOT
help O O I-PLOT
his O O I-PLOT
baseball O O I-PLOT
team O O I-PLOT
win O O I-PLOT
the O O I-PLOT
league O O I-PLOT
pennant O O I-PLOT

what O O O
is O O O
the O O O
name O O O
of O O O
this O O O
movie O O O
about O O O
a O O O
famous O O B-PLOT
historic O O I-PLOT
figure O O I-PLOT
known O O I-PLOT
for O O I-PLOT
his O O I-PLOT
peaceful O O I-PLOT
teachings O O I-PLOT

what O O O
s O O O
the O O O
movie O O O
based O O O
on O O O
emily O O B-ORIGIN
bronte O O I-ORIGIN
s O O I-ORIGIN
novel O O I-ORIGIN
and O O O
features O O B-PLOT
a O O I-PLOT
moody O O I-PLOT
central O O I-PLOT
character O O I-PLOT
named O O O
heathcliff O O B-CHARACTER_NAME

what O O O
movie O O O
features O O O
the O O O
story O O O
of O O O
two O O B-PLOT
olympic O O I-PLOT
runners O O I-PLOT
from O O I-PLOT
the O O I-PLOT
1920 O O I-PLOT
with O O I-PLOT
different O O I-PLOT
religious O O I-PLOT
backgrounds O O I-PLOT

i O O O
am O O O
trying O O O
to O O O
find O O O
the O O O
name O O O
of O O O
the O O O
sci O O B-GENRE
fi O O I-GENRE
movie O O O
directed O O O
by O O O
stanley O O B-DIRECTOR
kubrick O O I-DIRECTOR
in O O O
the O O O
1960 O O B-YEAR
s O O I-YEAR

what O O O
is O O O
the O O O
drama O O B-GENRE
sport O O I-GENRE
movie O O O
about O O B-PLOT
a O O I-PLOT
failing O O I-PLOT
baseball O O I-PLOT
manager O O I-PLOT
that O O I-PLOT
in O O I-PLOT
last O O I-PLOT
ditch O O I-PLOT
attempt O O I-PLOT
uses O O I-PLOT
computer O O I-PLOT
generated O O I-PLOT
statistics O O I-PLOT
to O O I-PLOT
put O O I-PLOT
together O O I-PLOT
an O O I-PLOT
unbeatable O O I-PLOT
team O O I-PLOT

what O O O
movie O O O
stars O O O
a O O O
talking O O B-PLOT
pig O O I-PLOT
who O O I-PLOT
is O O I-PLOT
adopted O O I-PLOT
by O O I-PLOT
dogs O O I-PLOT

what O O O
film O O O
tells O O O
the O O O
story O O O
of O O O
a O O B-PLOT
man O O I-PLOT
who O O I-PLOT
ties O O I-PLOT
thousands O O I-PLOT
of O O I-PLOT
balloons O O I-PLOT
to O O I-PLOT
his O O I-PLOT
home O O I-PLOT
and O O I-PLOT
sets O O I-PLOT
out O O I-PLOT
to O O I-PLOT
fulfill O O I-PLOT
his O O I-PLOT
lifelong O O I-PLOT
dream O O I-PLOT
to O O I-PLOT
see O O I-PLOT
the O O I-PLOT
wilds O O I-PLOT
of O O I-PLOT
south O O I-PLOT
america O O I-PLOT

what O O O
is O O O
stanley O O B-DIRECTOR
kubric O O I-DIRECTOR
s O O O
1968 O O B-YEAR
sci O O B-GENRE
fi O O I-GENRE
epic O O I-GENRE
about O O O
a O O B-PLOT
trek O O I-PLOT
to O O I-PLOT
space O O I-PLOT

what O O O
movie O O O
features O O O
actor O O O
nicholas O O B-ACTOR
cage O O I-ACTOR
as O O O
a O O B-PLOT
cursed O O I-PLOT
motorcycle O O I-PLOT
riding O O I-PLOT
marvel O O I-PLOT
comics O O I-PLOT
super O O I-PLOT
hero O O I-PLOT

what O O O
1976 O O B-YEAR
clint O O B-ACTOR
eastwood O O I-ACTOR
movie O O O
starring O O O
sandra O O B-ACTOR
locke O O I-ACTOR
revolved O O B-PLOT
around O O I-PLOT
a O O I-PLOT
farmer O O I-PLOT
becoming O O I-PLOT
a O O I-PLOT
confederate O O I-PLOT
guerrilla O O I-PLOT

this O O O
is O O O
a O O O
winter O O B-GENRE
holiday O O I-GENRE
movie O O O
with O O O
a O O B-PLOT
little O O I-PLOT
blond O O I-PLOT
boy O O I-PLOT
with O O I-PLOT
glasses O O I-PLOT
and O O I-PLOT
wants O O I-PLOT
a O O I-PLOT
bebe O O I-PLOT
gun O O I-PLOT

what O O O
is O O O
the O O O
movie O O O
featuring O O O
george O O B-ACTOR
c O O I-ACTOR
scott O O I-ACTOR
where O O O
he O O O
plays O O O
ebenezer O O B-ACTOR
scrooge O O I-ACTOR
and O O O
sees O O B-PLOT
3 O O I-PLOT
ghosts O O I-PLOT
in O O I-PLOT
a O O I-PLOT
dream O O I-PLOT
one O O I-PLOT
night O O I-PLOT
in O O I-PLOT
december O O I-PLOT

what O O O
is O O O
a O O O
movie O O O
in O O O
which O O O
a O O B-PLOT
human O O I-PLOT
girl O O I-PLOT
and O O I-PLOT
vampire O O I-PLOT
boy O O I-PLOT
have O O I-PLOT
a O O I-PLOT
hybrid O O I-PLOT
baby O O I-PLOT
girl O O I-PLOT

what O O O
is O O O
the O O O
1959 O O B-YEAR
billy O O B-DIRECTOR
wilder O O I-DIRECTOR
directed O O O
movie O O O
that O O O
was O O O
a O O O
remake O O O
of O O O
the O O O
french O O B-GENRE
film O O O
fanfare O O B-RELATIONSHIP
d O O I-RELATIONSHIP
amour O O I-RELATIONSHIP

what O O O
is O O O
that O O O
2010 O O B-YEAR
american O O O
romantic O O B-GENRE
comedy O O I-GENRE
film O O O
directed O O O
by O O O
garry O O B-DIRECTOR
marshall O O I-DIRECTOR
that O O O
features O O O
an O O O
ensemble O O O
cast O O O
including O O O
jessica O O B-ACTOR
alba O O I-ACTOR

which O O O
movie O O O
has O O O
four O O B-PLOT
people O O I-PLOT
commit O O I-PLOT
an O O I-PLOT
armed O O I-PLOT
robbery O O I-PLOT
and O O I-PLOT
then O O I-PLOT
turn O O I-PLOT
on O O I-PLOT
each O O I-PLOT
other O O I-PLOT
to O O I-PLOT
try O O I-PLOT
to O O I-PLOT
take O O I-PLOT
all O O I-PLOT
of O O I-PLOT
the O O I-PLOT
money O O I-PLOT
for O O I-PLOT
themselves O O I-PLOT

what O O O
is O O O
this O O O
movie O O O
starring O O O
bruce O O B-ACTOR
willis O O I-ACTOR
where O O O
a O O B-PLOT
young O O I-PLOT
boy O O I-PLOT
sees O O I-PLOT
dead O O I-PLOT
people O O I-PLOT
everywhere O O I-PLOT

what O O O
is O O O
the O O O
movie O O O
about O O O
an O O B-PLOT
alien O O I-PLOT
who O O I-PLOT
befriends O O I-PLOT
a O O I-PLOT
kid O O I-PLOT
named O O I-PLOT
elliott O O B-CHARACTER_NAME
and O O B-PLOT
has O O I-PLOT
to O O I-PLOT
go O O I-PLOT
back O O I-PLOT
home O O I-PLOT

what O O O
is O O O
the O O O
comedy O O B-GENRE
romance O O I-GENRE
movie O O O
starring O O O
adam O O B-ACTOR
sandler O O I-ACTOR
as O O O
a O O O
plastic O O B-PLOT
surgeon O O I-PLOT
that O O I-PLOT
must O O I-PLOT
rely O O I-PLOT
on O O I-PLOT
his O O I-PLOT
assistant O O I-PLOT
to O O I-PLOT
help O O I-PLOT
him O O I-PLOT
cover O O I-PLOT
up O O I-PLOT
a O O I-PLOT
lie O O I-PLOT

i O O O
m O O O
thinking O O O
of O O O
a O O O
romantic O O B-GENRE
1987 O O B-YEAR
film O O O
about O O B-PLOT
a O O I-PLOT
love O O I-PLOT
story O O I-PLOT
between O O I-PLOT
buttercup O O I-PLOT
and O O I-PLOT
westley O O I-PLOT

what O O O
is O O O
that O O O
2011 O O B-YEAR
3 O O B-GENRE
d O O I-GENRE
computer O O I-GENRE
animated O O I-GENRE
family O O I-GENRE
film O O I-GENRE
based O O O
on O O O
william O O B-ORIGIN
shakespeare O O I-ORIGIN
s O O I-ORIGIN
most O O I-ORIGIN
famous O O I-ORIGIN
play O O I-ORIGIN
and O O O
voiced O O O
by O O O
james O O B-ACTOR
mcavoy O O I-ACTOR
and O O O
emily O O B-ACTOR
blunt O O I-ACTOR

harrison O O B-ACTOR
ford O O I-ACTOR
is O O O
an O O B-PLOT
archeologist O O I-PLOT
and O O I-PLOT
adventurer O O I-PLOT
on O O I-PLOT
a O O I-PLOT
race O O I-PLOT
against O O I-PLOT
the O O I-PLOT
nazis O O I-PLOT
in O O O
this O O O
1981 O O B-YEAR
steven O O B-DIRECTOR
spielberg O O I-DIRECTOR
movie O O O

which O O O
film O O O
is O O O
about O O O
a O O B-PLOT
poor O O I-PLOT
boy O O I-PLOT
who O O I-PLOT
gets O O I-PLOT
a O O I-PLOT
job O O I-PLOT
working O O I-PLOT
for O O I-PLOT
his O O I-PLOT
rich O O I-PLOT
uncle O O I-PLOT
and O O I-PLOT
ends O O I-PLOT
up O O I-PLOT
falling O O I-PLOT
in O O I-PLOT
love O O I-PLOT
with O O I-PLOT
two O O I-PLOT
women O O I-PLOT

this O O O
movie O O O
made O O O
in O O O
1993 O O B-YEAR
is O O O
about O O B-PLOT
a O O I-PLOT
mute O O I-PLOT
pianist O O I-PLOT
and O O I-PLOT
her O O I-PLOT
daughter O O I-PLOT
taking O O I-PLOT
place O O I-PLOT
in O O I-PLOT
the O O I-PLOT
mid O O I-PLOT
19 O O I-PLOT
century O O I-PLOT

the O O O
name O O O
of O O O
the O O O
musical O O B-GENRE
movie O O O
about O O O
a O O B-PLOT
poor O O I-PLOT
boy O O I-PLOT
who O O I-PLOT
becomes O O I-PLOT
a O O I-PLOT
thief O O I-PLOT
and O O I-PLOT
is O O I-PLOT
saved O O I-PLOT
by O O I-PLOT
what O O I-PLOT
turns O O I-PLOT
out O O I-PLOT
to O O I-PLOT
be O O I-PLOT
his O O I-PLOT
grandfather O O I-PLOT

i O O O
am O O O
thinking O O O
of O O O
a O O O
classic O O B-GENRE
film O O O
that O O O
stars O O O
gregory O O B-ACTOR
peck O O I-ACTOR
in O O O
a O O B-PLOT
story O O I-PLOT
about O O I-PLOT
a O O I-PLOT
man O O I-PLOT
who O O I-PLOT
gets O O I-PLOT
entangled O O I-PLOT
in O O I-PLOT
a O O I-PLOT
bitter O O I-PLOT
land O O I-PLOT
feud O O I-PLOT

what O O O
1998 O O B-YEAR
film O O O
starring O O O
tom O O B-ACTOR
hanks O O I-ACTOR
and O O O
meg O O B-ACTOR
ryan O O I-ACTOR
was O O O
about O O O
a O O B-PLOT
man O O I-PLOT
and O O I-PLOT
a O O I-PLOT
woman O O I-PLOT
that O O I-PLOT
fall O O I-PLOT
in O O I-PLOT
love O O I-PLOT
over O O I-PLOT
the O O I-PLOT
internet O O I-PLOT

what O O O
is O O O
the O O O
ecological O O B-GENRE
documentary O O I-GENRE
drama O O I-GENRE
that O O O
showcases O O B-PLOT
the O O I-PLOT
disappearing O O I-PLOT
marvels O O I-PLOT
of O O I-PLOT
the O O I-PLOT
sub O O I-PLOT
aquatic O O I-PLOT
world O O I-PLOT

what O O O
is O O O
this O O O
1982 O O B-YEAR
science O O B-GENRE
fiction O O I-GENRE
film O O I-GENRE
directed O O O
by O O O
ridley O O B-DIRECTOR
scott O O I-DIRECTOR

this O O O
movie O O O
written O O O
by O O O
funny O O O
girl O O O
kristen O O B-ACTOR
wiig O O I-ACTOR
is O O O
about O O O
a O O B-PLOT
group O O I-PLOT
of O O I-PLOT
strangers O O I-PLOT
who O O I-PLOT
go O O I-PLOT
through O O I-PLOT
a O O I-PLOT
crazy O O I-PLOT
journey O O I-PLOT
to O O I-PLOT
help O O I-PLOT
their O O I-PLOT
friend O O I-PLOT
getting O O I-PLOT
married O O I-PLOT
played O O O
by O O O
maya O O B-ACTOR
rudolph O O I-ACTOR

what O O O
is O O O
the O O O
name O O O
of O O O
the O O O
1939 O O B-YEAR
fantasy O O B-GENRE
film O O I-GENRE
featuring O O O
the O O O
scarecrow O O B-CHARACTER_NAME
the O O O
tin O O B-CHARACTER_NAME
man O O I-CHARACTER_NAME
and O O O
the O O O
cowardly O O B-CHARACTER_NAME
lion O O I-CHARACTER_NAME

this O O O
is O O O
a O O O
musical O O B-GENRE
turned O O O
movie O O O
where O O O
it O O O
features O O O
a O O B-PLOT
creation O O I-PLOT
brought O O I-PLOT
to O O I-PLOT
life O O I-PLOT

what O O O
is O O O
this O O O
movie O O O
based O O B-ORIGIN
on O O I-ORIGIN
a O O I-ORIGIN
classic O O I-ORIGIN
novel O O I-ORIGIN
about O O O
a O O B-PLOT
newly O O I-PLOT
married O O I-PLOT
women O O I-PLOT
and O O I-PLOT
the O O I-PLOT
ghost O O I-PLOT
of O O I-PLOT
her O O I-PLOT
husband O O I-PLOT
s O O I-PLOT
ex O O I-PLOT
wife O O I-PLOT

what O O O
is O O O
the O O O
1996 O O B-YEAR
sports O O B-GENRE
film O O O
featuring O O O
a O O B-PLOT
sports O O I-PLOT
agent O O I-PLOT
who O O I-PLOT
shouts O O I-PLOT
the O O I-PLOT
memorable O O I-PLOT
line O O I-PLOT
show O O B-QUOTE
me O O I-QUOTE
the O O I-QUOTE
money O O I-QUOTE

what O O O
is O O O
the O O O
movie O O O
about O O O
that O O O
city O O B-PLOT
state O O I-PLOT
on O O I-PLOT
the O O I-PLOT
mediterranean O O I-PLOT
sea O O I-PLOT
near O O I-PLOT
france O O I-PLOT
and O O I-PLOT
italy O O I-PLOT

what O O O
is O O O
the O O O
2011 O O B-YEAR
latest O O O
instalment O O O
in O O O
the O O O
movie O O O
about O O O
fast O O B-PLOT
cars O O I-PLOT
directed O O O
by O O O
justin O O B-DIRECTOR
lin O O I-DIRECTOR
and O O O
starring O O O
vin O O B-ACTOR
diesel O O I-ACTOR

name O O O
the O O O
family O O B-GENRE
film O O I-GENRE
that O O O
stars O O O
matt O O B-ACTOR
damon O O I-ACTOR
as O O O
a O O B-PLOT
single O O I-PLOT
dad O O I-PLOT
who O O I-PLOT
decides O O I-PLOT
to O O I-PLOT
buy O O I-PLOT
his O O I-PLOT
family O O I-PLOT
a O O I-PLOT
zoo O O I-PLOT

what O O O
film O O O
tells O O O
the O O B-PLOT
story O O I-PLOT
of O O I-PLOT
a O O I-PLOT
small O O I-PLOT
time O O I-PLOT
grifter O O I-PLOT
and O O I-PLOT
nightclub O O I-PLOT
tout O O I-PLOT
takes O O I-PLOT
advantage O O I-PLOT
of O O I-PLOT
some O O I-PLOT
fortuitous O O I-PLOT
circumstances O O I-PLOT
and O O I-PLOT
tries O O I-PLOT
to O O I-PLOT
become O O I-PLOT
a O O I-PLOT
big O O I-PLOT
time O O I-PLOT
player O O I-PLOT
as O O I-PLOT
a O O I-PLOT
wrestling O O I-PLOT
promoter O O I-PLOT

what O O O
is O O O
the O O O
name O O O
of O O O
that O O O
movie O O O
starring O O O
kenau O O B-ACTOR
reeves O O I-ACTOR
where O O O
he O O B-PLOT
wore O O I-PLOT
the O O I-PLOT
long O O I-PLOT
coat O O I-PLOT
and O O I-PLOT
slowed O O I-PLOT
down O O I-PLOT
time O O I-PLOT

in O O O
which O O O
movie O O O
do O O O
blue O O B-PLOT
color O O I-PLOT
creatures O O I-PLOT
live O O I-PLOT
on O O I-PLOT
the O O I-PLOT
moon O O I-PLOT
pandora O O I-PLOT

in O O O
which O O O
film O O O
do O O O
humphrey O O B-ACTOR
bogart O O I-ACTOR
and O O O
katherine O O B-ACTOR
hepburn O O I-ACTOR
ride O O B-PLOT
down O O I-PLOT
a O O I-PLOT
river O O I-PLOT
together O O I-PLOT
on O O I-PLOT
the O O I-PLOT
boat O O I-PLOT
of O O I-PLOT
the O O I-PLOT
title O O I-PLOT

what O O O
is O O O
that O O O
1993 O O B-YEAR
war O O B-GENRE
film O O I-GENRE
starring O O O
liam O O B-ACTOR
neeson O O I-ACTOR
and O O O
directed O O O
by O O O
steven O O B-DIRECTOR
spielberg O O I-DIRECTOR
set O O O
during O O O
world O O O
war O O O
ii O O O

what O O O
scorsesi O O B-DIRECTOR
directed O O O
gangster O O B-GENRE
film O O O
combined O O O
the O O O
talents O O O
of O O O
robert O O B-ACTOR
deniro O O I-ACTOR
ray O O I-ACTOR
liotta O O I-ACTOR
joe O O I-ACTOR
pesci O O I-ACTOR
and O O O
paul O O B-ACTOR
sorvino O O I-ACTOR

what O O O
is O O O
that O O O
movie O O O
starring O O O
paul O O B-ACTOR
rudd O O I-ACTOR
as O O O
a O O O
happy O O B-PLOT
go O O I-PLOT
lucky O O I-PLOT
honest O O I-PLOT
person O O I-PLOT
who O O I-PLOT
interacts O O I-PLOT
with O O I-PLOT
all O O I-PLOT
of O O I-PLOT
his O O I-PLOT
sisters O O I-PLOT
and O O I-PLOT
ca O O I-PLOT
n O O I-PLOT
t O O I-PLOT
seem O O I-PLOT
to O O I-PLOT
catch O O I-PLOT
a O O I-PLOT
break O O I-PLOT
in O O I-PLOT
his O O I-PLOT
life O O I-PLOT

what O O O
s O O O
the O O O
adam O O B-ACTOR
sandler O O I-ACTOR
movie O O O
where O O O
he O O B-PLOT
goes O O I-PLOT
to O O I-PLOT
jail O O I-PLOT
and O O I-PLOT
puts O O I-PLOT
a O O I-PLOT
football O O I-PLOT
team O O I-PLOT
together O O I-PLOT

what O O O
2011 O O B-YEAR
science O O B-GENRE
fiction O O I-GENRE
horror O O I-GENRE
film O O O
concerns O O O
a O O B-PLOT
group O O I-PLOT
of O O I-PLOT
scientists O O I-PLOT
who O O I-PLOT
discover O O I-PLOT
an O O I-PLOT
alien O O I-PLOT
in O O I-PLOT
antarctica O O I-PLOT

what O O O
is O O O
this O O O
quentin O O B-DIRECTOR
tarantino O O I-DIRECTOR
film O O O
where O O O
uma O O B-ACTOR
thurman O O I-ACTOR
s O O O
character O O O
accidentally O O B-PLOT
overdoses O O I-PLOT
on O O I-PLOT
illegal O O I-PLOT
drugs O O I-PLOT

what O O O
burt O O B-ACTOR
reynolds O O I-ACTOR
film O O O
features O O O
a O O O
scene O O O
that O O O
inspired O O B-ORIGIN
the O O O
phrase O O O
squeal O O B-ORIGIN
like O O I-ORIGIN
a O O O
pig O O B-ORIGIN

what O O O
is O O O
the O O O
movie O O O
with O O O
bing O O B-ACTOR
crosby O O I-ACTOR
and O O O
danny O O B-ACTOR
kaye O O I-ACTOR
that O O O
takes O O B-PLOT
place O O I-PLOT
at O O I-PLOT
an O O I-PLOT
inn O O I-PLOT
in O O I-PLOT
vermont O O I-PLOT

what O O O
is O O O
the O O O
old O O O
movie O O O
starring O O O
robin O O B-ACTOR
williams O O I-ACTOR
about O O O
a O O B-PLOT
board O O I-PLOT
game O O I-PLOT
coming O O I-PLOT
to O O I-PLOT
life O O I-PLOT

what O O O
s O O O
the O O O
movie O O O
that O O O
is O O O
a O O O
live O O O
action O O O
retelling O O B-PLOT
of O O I-PLOT
a O O I-PLOT
famous O O I-PLOT
lewis O O B-ORIGIN
carroll O O I-ORIGIN
story O O B-PLOT

this O O O
movie O O O
features O O O
a O O B-PLOT
large O O I-PLOT
shark O O I-PLOT
that O O I-PLOT
goes O O I-PLOT
against O O I-PLOT
a O O I-PLOT
crew O O I-PLOT
that O O I-PLOT
needs O O I-PLOT
a O O I-PLOT
bigger O O I-PLOT
boat O O I-PLOT

what O O O
is O O O
the O O O
name O O O
of O O O
the O O O
second O O O
movie O O O
in O O O
a O O O
popular O O O
disney O O O
series O O O
starring O O O
johnny O O B-ACTOR
depp O O I-ACTOR

what O O O
is O O O
the O O O
movie O O O
where O O O
this O O B-PLOT
man O O I-PLOT
takes O O I-PLOT
a O O I-PLOT
pill O O I-PLOT
that O O I-PLOT
increases O O I-PLOT
his O O I-PLOT
intelligence O O I-PLOT
but O O I-PLOT
it O O I-PLOT
wears O O I-PLOT
on O O I-PLOT
his O O I-PLOT
life O O I-PLOT

what O O O
s O O O
the O O O
name O O O
of O O O
the O O O
movie O O O
where O O O
robert O O B-ACTOR
deniro O O I-ACTOR
stars O O O
in O O O
the O O O
tragic O O B-PLOT
story O O I-PLOT
of O O I-PLOT
the O O I-PLOT
boxer O O I-PLOT
jake O O B-CHARACTER_NAME
lamotta O O I-CHARACTER_NAME

what O O O
1973 O O B-YEAR
film O O O
set O O O
in O O O
the O O O
1930 O O B-YEAR
s O O O
starred O O O
robert O O B-ACTOR
redford O O I-ACTOR
and O O O
paul O O B-ACTOR
newman O O I-ACTOR
as O O O
professional O O B-PLOT
con O O I-PLOT
men O O I-PLOT

what O O O
is O O O
that O O O
2012 O O B-YEAR
american O O B-GENRE
horror O O I-GENRE
film O O O
which O O O
uses O O O
the O O O
real O O O
life O O O
1986 O O O
chernobyl O O O
disaster O O O
as O O O
a O O O
backdrop O O O

what O O O
is O O O
the O O O
movie O O O
about O O O
a O O B-PLOT
shark O O I-PLOT
that O O I-PLOT
terrorizes O O I-PLOT
amity O O I-PLOT
island O O I-PLOT
during O O I-PLOT
one O O I-PLOT
summer O O I-PLOT
forcing O O I-PLOT
the O O I-PLOT
sheriff O O I-PLOT
who O O I-PLOT
hates O O I-PLOT
water O O I-PLOT
to O O I-PLOT
hire O O I-PLOT
a O O I-PLOT
boat O O I-PLOT
to O O I-PLOT
track O O I-PLOT
and O O I-PLOT
kill O O I-PLOT
it O O I-PLOT

i O O O
m O O O
thinking O O O
of O O O
a O O O
movie O O O
that O O O
is O O O
a O O O
sequel O O B-RELATIONSHIP
starring O O O
liam O O B-ACTOR
neeson O O I-ACTOR
rescuing O O B-PLOT
his O O I-PLOT
kidnapped O O I-PLOT
wife O O I-PLOT
and O O I-PLOT
daughter O O I-PLOT

what O O O
is O O O
that O O O
2010 O O B-YEAR
american O O B-GENRE
comedy O O I-GENRE
film O O O
starring O O O
will O O B-ACTOR
forte O O I-ACTOR
that O O O
parodies O O B-PLOT
the O O I-PLOT
famous O O I-PLOT
tv O O I-PLOT
series O O I-PLOT
macgyver O O I-PLOT

a O O O
brilliant O O B-OPINION
telling O O I-OPINION
of O O O
the O O O
story O O B-PLOT
of O O I-PLOT
wolfgang O O I-PLOT
amadeus O O I-PLOT
mozart O O I-PLOT
starring O O O
f O O B-ACTOR
murray O O I-ACTOR
abraham O O I-ACTOR
tom O O I-ACTOR
hulce O O I-ACTOR
and O O O
elizabeth O O B-ACTOR
berridge O O I-ACTOR

what O O O
1981 O O B-YEAR
film O O O
directed O O O
by O O O
steven O O B-DIRECTOR
spielberg O O I-DIRECTOR
was O O O
the O O O
first O O B-RELATIONSHIP
installment O O I-RELATIONSHIP
of O O I-RELATIONSHIP
the O O I-RELATIONSHIP
indianna O O B-CHARACTER_NAME
jones O O I-CHARACTER_NAME
series O O B-RELATIONSHIP

what O O O
is O O O
the O O O
movie O O O
about O O O
a O O B-PLOT
man O O I-PLOT
who O O I-PLOT
gets O O I-PLOT
involved O O I-PLOT
in O O I-PLOT
an O O I-PLOT
underground O O I-PLOT
club O O I-PLOT
played O O O
by O O O
edward O O B-ACTOR
norton O O I-ACTOR
and O O O
has O O B-PLOT
an O O I-PLOT
alter O O I-PLOT
ego O O I-PLOT
played O O O
by O O O
brad O O B-ACTOR
pitt O O I-ACTOR

this O O O
movie O O O
has O O O
noam O O B-ACTOR
chomsky O O I-ACTOR
in O O O
it O O O
and O O O
it O O O
is O O O
a O O O
graphic O O O
documentary O O B-GENRE
on O O B-PLOT
both O O I-PLOT
sides O O I-PLOT
of O O I-PLOT
the O O I-PLOT
abortion O O I-PLOT
debate O O I-PLOT

what O O O
is O O O
the O O O
1999 O O B-YEAR
movie O O O
directed O O O
by O O O
m O O B-DIRECTOR
night O O I-DIRECTOR
shyamalan O O I-DIRECTOR
starring O O O
bruce O O B-ACTOR
willis O O I-ACTOR
as O O O
a O O B-PLOT
child O O I-PLOT
psychologist O O I-PLOT

what O O O
is O O O
the O O O
movie O O O
about O O O
a O O O
mermaid O O B-PLOT
with O O I-PLOT
red O O I-PLOT
hair O O I-PLOT
who O O I-PLOT
falls O O I-PLOT
in O O I-PLOT
love O O I-PLOT
with O O I-PLOT
a O O I-PLOT
human O O I-PLOT

the O O B-PLOT
autobots O O I-PLOT
learn O O I-PLOT
of O O I-PLOT
a O O I-PLOT
cybertronian O O I-PLOT
spacecraft O O I-PLOT
and O O I-PLOT
race O O I-PLOT
against O O I-PLOT
the O O I-PLOT
decepticons O O I-PLOT
to O O I-PLOT
reach O O I-PLOT
it O O I-PLOT
and O O I-PLOT
to O O I-PLOT
learn O O I-PLOT
its O O I-PLOT
secrets O O I-PLOT
in O O O
this O O O
2011 O O B-YEAR
sequel O O B-RELATIONSHIP

woody O O B-CHARACTER_NAME
and O O O
buzz O O B-CHARACTER_NAME
head O O B-PLOT
off O O I-PLOT
to O O I-PLOT
a O O I-PLOT
new O O I-PLOT
home O O I-PLOT
at O O I-PLOT
the O O I-PLOT
daycare O O I-PLOT
center O O I-PLOT
in O O O
this O O O
cgi O O O
sequel O O O

this O O O
is O O O
a O O O
movie O O O
about O O B-PLOT
a O O I-PLOT
family O O I-PLOT
who O O I-PLOT
lives O O I-PLOT
in O O I-PLOT
st O O I-PLOT
louis O O I-PLOT
on O O I-PLOT
the O O I-PLOT
brink O O I-PLOT
of O O I-PLOT
the O O I-PLOT
1904 O O I-PLOT
worlds O O I-PLOT
fair O O I-PLOT

what O O O
s O O O
the O O O
dramatic O O B-GENRE
comedy O O I-GENRE
about O O O
a O O B-PLOT
guy O O I-PLOT
who O O I-PLOT
provides O O I-PLOT
a O O I-PLOT
safe O O I-PLOT
place O O I-PLOT
for O O I-PLOT
his O O I-PLOT
co O O I-PLOT
workers O O I-PLOT
and O O I-PLOT
boss O O I-PLOT
to O O I-PLOT
have O O I-PLOT
affairs O O I-PLOT

this O O O
action O O B-GENRE
thriller O O I-GENRE
from O O O
2010 O O B-YEAR
features O O O
george O O B-ACTOR
clooney O O I-ACTOR
as O O O
a O O B-PLOT
contract O O I-PLOT
killer O O I-PLOT
and O O O
was O O O
directed O O O
by O O O
anton O O B-DIRECTOR
corbijn O O I-DIRECTOR

what O O O
is O O O
the O O O
movie O O O
from O O O
1931 O O B-YEAR
about O O O
police O O B-PLOT
being O O I-PLOT
unable O O I-PLOT
to O O I-PLOT
catch O O I-PLOT
a O O I-PLOT
child O O I-PLOT
murder O O I-PLOT
so O O I-PLOT
other O O I-PLOT
criminals O O I-PLOT
join O O I-PLOT
in O O I-PLOT
on O O I-PLOT
the O O I-PLOT
hunt O O I-PLOT

what O O O
s O O O
the O O O
early O O O
dustin O O B-ACTOR
hoffman O O I-ACTOR
film O O O
about O O O
a O O B-PLOT
young O O I-PLOT
man O O I-PLOT
who O O I-PLOT
dates O O I-PLOT
the O O I-PLOT
daughter O O I-PLOT
and O O I-PLOT
has O O I-PLOT
an O O I-PLOT
affair O O I-PLOT
with O O I-PLOT
the O O I-PLOT
mother O O I-PLOT

what O O O
2010 O O B-YEAR
movie O O O
starred O O O
jackie O O B-ACTOR
chan O O I-ACTOR
as O O O
a O O B-PLOT
former O O I-PLOT
cia O O I-PLOT
spy O O I-PLOT
tasked O O I-PLOT
with O O I-PLOT
looking O O I-PLOT
after O O I-PLOT
his O O I-PLOT
girlfriend O O I-PLOT
s O O I-PLOT
three O O I-PLOT
children O O I-PLOT

what O O O
is O O O
that O O O
1965 O O B-YEAR
american O O B-GENRE
musical O O I-GENRE
film O O O
starring O O O
julie O O B-ACTOR
andrews O O I-ACTOR
that O O O
is O O O
considered O O B-OPINION
a O O I-OPINION
classic O O I-OPINION
and O O I-OPINION
one O O I-OPINION
of O O I-OPINION
the O O I-OPINION
greatest O O I-OPINION
movies O O I-OPINION
ever O O I-OPINION
made O O I-OPINION

barbara O O B-ACTOR
stanwyck O O I-ACTOR
played O O O
a O O B-PLOT
wicked O O I-PLOT
scheming O O I-PLOT
woman O O I-PLOT
duping O O I-PLOT
