-DOCSTART- -X- -X- O
have O O O
humorous O O B-AMENITY
decorations O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
family O O B-AMENITY
owned O O I-AMENITY
restaurants O O O
in O O B-LOCATION
this O O I-LOCATION
town O O I-LOCATION
use O O O
only O O B-AMENITY
local O O I-AMENITY
ingredients O O I-AMENITY
in O O O
their O O O
dishes O O O

do O O O
any O O O
of O O O
the O O O
galley O O B-RESTAURANT_NAME
at O O I-RESTAURANT_NAME
hewitts O O I-RESTAURANT_NAME
cove O O I-RESTAURANT_NAME
restaurants O O O
around O O B-LOCATION
five O O I-LOCATION
miles O O I-LOCATION
from O O I-LOCATION
here O O I-LOCATION
deliver O O B-AMENITY

do O O O
any O O O
of O O O
the O O O
german O O B-CUISINE
restaurants O O O
nearby O O O
also O O O
serve O O O
pizza O O B-DISH

do O O O
any O O O
of O O O
the O O O
greek O O B-RESTAURANT_NAME
restaurants O O I-RESTAURANT_NAME
in O O B-LOCATION
town O O I-LOCATION
serve O O I-LOCATION
home O O B-DISH
made O O I-DISH
cucumber O O I-DISH
sauce O O I-DISH
on O O B-CUISINE
their O O I-CUISINE
gyros O O B-DISH

do O O O
any O O O
of O O O
the O O O
italian O O B-CUISINE
restaurants O O O
around O O B-LOCATION
here O O I-LOCATION
have O O O
a O O O
senior O O B-AMENITY
menu O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
japanese O O B-CUISINE
restaurants O O O
sell O O O
bottles O O O
of O O O
sake O O B-DISH
that O O O
you O O O
can O O O
take O O B-AMENITY
home O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
pizza O O B-CUISINE
parlours O O I-CUISINE
in O O B-LOCATION
town O O I-LOCATION
have O O O
a O O O
smoking O O B-AMENITY
section O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
places O O O
that O O O
serve O O O
crepes O O B-DISH
also O O O
serve O O O
beer O O B-DISH

do O O O
any O O O
of O O O
the O O O
restaurants O O O
around O O B-LOCATION
here O O I-LOCATION
have O O O
a O O O
selection O O O
of O O O
dishes O O O
with O O O
bok O O B-DISH
choy O O I-DISH
in O O O
them O O O

do O O O
any O O O
of O O O
the O O O
restaurants O O O
in O O B-LOCATION
this O O I-LOCATION
county O O I-LOCATION
allow O O B-AMENITY
smoking O O I-AMENITY
at O O I-AMENITY
the O O I-AMENITY
bar O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
restaurants O O O
in O O B-LOCATION
this O O I-LOCATION
town O O I-LOCATION
do O O O
live O O B-AMENITY
comedy O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
restaurants O O O
near O O B-LOCATION
the O O I-LOCATION
suburb O O I-LOCATION
serve O O O
english O O B-DISH
muffins O O I-DISH
and O O I-DISH
tea O O I-DISH

do O O O
any O O O
of O O O
the O O O
restaurants O O O
on O O O
this O O B-LOCATION
side O O I-LOCATION
of O O I-LOCATION
town O O I-LOCATION
with O O O
outdoor O O B-AMENITY
dining O O I-AMENITY
allow O O I-AMENITY
smoking O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
restaurants O O O
serving O O O
locally O O B-CUISINE
farmed O O I-CUISINE
food O O O
have O O O
nutritional O O B-AMENITY
information O O I-AMENITY
on O O O
hand O O O

do O O O
any O O O
of O O O
the O O O
restaurants O O O
that O O O
are O O O
not O O B-CUISINE
fast O O I-CUISINE
food O O I-CUISINE
have O O O
a O O O
childrens O O B-AMENITY
play O O I-AMENITY
area O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
restaurants O O O
that O O O
serve O O O
african O O B-CUISINE
cuisine O O O
allow O O O
you O O O
to O O O
bring O O B-AMENITY
your O O I-AMENITY
own O O I-AMENITY
beverages O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
slovenian O O B-CUISINE
restaurants O O O
around O O B-LOCATION
here O O I-LOCATION
serve O O O
kransky O O B-DISH

do O O O
any O O O
of O O O
the O O O
sushi O O B-CUISINE
places O O O
in O O B-LOCATION
town O O I-LOCATION
take O O O
american O O B-AMENITY
express O O I-AMENITY

do O O O
any O O O
of O O O
the O O O
vegan O O B-CUISINE
restaurants O O O
in O O B-LOCATION
this O O I-LOCATION
town O O I-LOCATION
deliver O O B-AMENITY

do O O O
any O O O
of O O O
the O O O
vietnamese O O B-CUISINE
restaurants O O O
stay O O O
open O O O
after O O B-HOURS
11 O O I-HOURS
pm O O I-HOURS

do O O O
any O O O
restaurants O O O
have O O O
a O O O
seasonal O O B-AMENITY
menu O O I-AMENITY
with O O O
venison O O B-DISH
dishes O O O

do O O O
any O O O
restaurants O O O
have O O O
tvs O O B-AMENITY
and O O O
sports O O B-AMENITY
game O O I-AMENITY
specials O O I-AMENITY

do O O O
any O O O
restaurants O O O
in O O B-LOCATION
this O O I-LOCATION
town O O I-LOCATION
offer O O O
valet O O B-AMENITY
parking O O I-AMENITY

do O O O
any O O O
restaurants O O O
nearby O O B-LOCATION
have O O O
happy O O B-AMENITY
hour O O I-AMENITY
right O O O
now O O B-AMENITY
or O O O
start O O O
it O O O
within O O O
the O O O
hour O O O

do O O O
any O O O
restaurants O O O
nearby O O O
have O O O
live O O B-AMENITY
music O O I-AMENITY

do O O O
any O O O
restaurants O O O
with O O O
a O O O
diet O O B-CUISINE
menu O O I-CUISINE
have O O O
several O O B-DISH
different O O I-DISH
flavours O O I-DISH
of O O I-DISH
greek O O I-DISH
yoghurt O O I-DISH

do O O O
celebrities O O B-AMENITY
hangout O O I-AMENITY
at O O O
billy O O B-RESTAURANT_NAME
kidds O O I-RESTAURANT_NAME
sub O O I-RESTAURANT_NAME
and O O I-RESTAURANT_NAME
pizza O O I-RESTAURANT_NAME
shop O O I-RESTAURANT_NAME

do O O O
day O O O
serve O O O
sake O O B-DISH
in O O O
hamada O O B-RESTAURANT_NAME
japan O O I-RESTAURANT_NAME

do O O O
fried O O B-DISH
apples O O I-DISH
exist O O O
in O O B-LOCATION
this O O I-LOCATION
town O O I-LOCATION

do O O O
i O O O
have O O O
to O O O
dress O O O
up O O O
to O O O
go O O O
to O O O
that O O O
new O O B-AMENITY
french O O B-CUISINE
restaurant O O O

do O O O
i O O O
have O O O
to O O O
make O O O
reservations O O B-AMENITY
at O O O
the O O O
taylors O O B-RESTAURANT_NAME
restaurant O O I-RESTAURANT_NAME

do O O O
i O O O
need O O O
a O O O
reservation O O B-AMENITY
for O O O
el O O B-RESTAURANT_NAME
vez O O I-RESTAURANT_NAME
in O O O
center O O B-LOCATION
city O O I-LOCATION

do O O O
i O O O
need O O O
a O O O
reservation O O O
for O O O
mcafees O O B-RESTAURANT_NAME

do O O O
i O O O
need O O O
a O O O
reservation O O B-AMENITY
for O O O
sandys O O B-RESTAURANT_NAME
on O O O
walker O O B-LOCATION
street O O I-LOCATION

do O O O
i O O O
need O O O
a O O O
reservation O O O
for O O O
ziggys O O B-RESTAURANT_NAME

do O O O
i O O O
need O O O
to O O O
have O O O
a O O O
reservation O O O
for O O O
golden O O B-RESTAURANT_NAME
corral O O I-RESTAURANT_NAME

do O O O
i O O O
need O O O
to O O O
make O O O
a O O O
reservation O O B-AMENITY
for O O O
longhorn O O B-RESTAURANT_NAME
steakhouse O O I-RESTAURANT_NAME

do O O O
i O O O
need O O O
to O O O
make O O O
reservations O O O
to O O O
eat O O O
at O O O
dangelos O O B-RESTAURANT_NAME

do O O O
i O O O
need O O O
to O O O
wear O O B-AMENITY
a O O I-AMENITY
jacket O O I-AMENITY

do O O O
people O O O
recommend O O O
the O O O
wine O O B-AMENITY
list O O I-AMENITY
at O O O
gretas O O B-RESTAURANT_NAME
tavern O O I-RESTAURANT_NAME

do O O O
the O O O
three O O O
mexican O O B-CUISINE
restaurants O O O
in O O B-LOCATION
the O O I-LOCATION
city O O I-LOCATION
offer O O O
carry O O B-AMENITY
out O O I-AMENITY

do O O O
they O O O
have O O O
a O O O
cheap O O B-PRICE
lunch O O B-AMENITY
special O O I-AMENITY

do O O O
they O O O
have O O O
dog O O B-DISH
treats O O I-DISH

do O O O
they O O O
have O O O
good O O B-PRICE
waterfront O O B-AMENITY
dining O O I-AMENITY

do O O O
they O O O
make O O O
good O O B-RATING
briskits O O B-DISH

do O O O
they O O O
sell O O O
mexican O O B-CUISINE
food O O B-DISH
somewhere O O B-LOCATION
close O O I-LOCATION

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
a1 O O B-RESTAURANT_NAME

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
american O O B-CUISINE
cuisine O O O

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
chinese O O B-CUISINE
food O O O
in O O B-LOCATION
the O O I-LOCATION
area O O I-LOCATION

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
diners O O B-CUISINE

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
japanese O O B-CUISINE
food O O O

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
japanese O O B-CUISINE
restaurants O O O

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
mcdonalds O O B-RESTAURANT_NAME

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
mcdonalds O O B-RESTAURANT_NAME
in O O O
the O O O
area O O B-LOCATION

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
near O O B-LOCATION
by O O I-LOCATION
diners O O B-CUISINE

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
olive O O B-RESTAURANT_NAME
garden O O I-RESTAURANT_NAME
near O O B-LOCATION
by O O I-LOCATION

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
seafood O O B-CUISINE

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
some O O O
chinese O O B-CUISINE
restaurants O O O
in O O O
the O O O
area O O B-LOCATION

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
the O O O
closest O O B-LOCATION
burger O O B-RESTAURANT_NAME
king O O I-RESTAURANT_NAME

do O O O
you O O O
have O O O
a O O O
listing O O O
for O O O
wendys O O B-RESTAURANT_NAME

do O O O
you O O O
have O O O
a O O O
listing O O O
of O O O
all O O O
sea O O B-CUISINE
food O O I-CUISINE
restaurants O O O

do O O O
you O O O
have O O O
a O O O
listing O O O
of O O O
delis O O B-CUISINE
in O O B-LOCATION
the O O I-LOCATION
area O O I-LOCATION

do O O O
you O O O
have O O O
a O O O
listing O O O
of O O O
fast O O B-CUISINE
food O O I-CUISINE
in O O B-LOCATION
the O O I-LOCATION
area O O I-LOCATION

do O O O
you O O O
have O O O
a O O O
listing O O O
of O O O
mexican O O B-CUISINE
food O O O
in O O B-LOCATION
the O O I-LOCATION
area O O I-LOCATION

do O O O
you O O O
have O O O
a O O O
listing O O O
of O O O
seafood O O B-CUISINE
restaurants O O O

do O O O
you O O O
have O O O
a O O O
listing O O O
of O O O
wendys O O B-RESTAURANT_NAME
in O O B-LOCATION
the O O I-LOCATION
area O O I-LOCATION

do O O O
you O O O
have O O O
a O O O
number O O O
for O O O
dennys O O B-RESTAURANT_NAME

do O O O
you O O O
have O O O
a O O O
route O O O
to O O O
the O O O
closest O O B-LOCATION
burger O O B-RESTAURANT_NAME
king O O I-RESTAURANT_NAME

do O O O
you O O O
have O O O
an O O O
olive O O B-RESTAURANT_NAME
garden O O I-RESTAURANT_NAME
within O O B-LOCATION
5 O O I-LOCATION
miles O O I-LOCATION

do O O O
you O O O
have O O O
an O O O
olive O O B-RESTAURANT_NAME
garden O O I-RESTAURANT_NAME
within O O B-LOCATION
5 O O I-LOCATION
miles O O I-LOCATION
of O O O
me O O O

do O O O
you O O O
have O O O
any O O O
information O O O
the O O O
service O O O
and O O O
reviews O O O
of O O O
china O O B-RESTAURANT_NAME
house O O I-RESTAURANT_NAME

do O O O
you O O O
have O O O
any O O O
listings O O O
for O O O
italian O O B-CUISINE
food O O O

do O O O
you O O O
have O O O
any O O O
outbacks O O B-RESTAURANT_NAME
nearby O O B-LOCATION

do O O O
you O O O
have O O O
any O O O
rating O O B-RATING
reviews O O I-RATING
for O O O
the O O O
luigis O O B-RESTAURANT_NAME
giant O O I-RESTAURANT_NAME
slice O O I-RESTAURANT_NAME
at O O O
this O O B-LOCATION
location O O I-LOCATION

do O O O
you O O O
have O O O
any O O O
restaurants O O O
open O O O
24 O O B-HOURS
hours O O I-HOURS

do O O O
you O O O
have O O O
any O O O
wendys O O B-RESTAURANT_NAME
along O O B-LOCATION
my O O I-LOCATION
route O O I-LOCATION

do O O O
you O O O
have O O O
any O O O
wendys O O B-RESTAURANT_NAME
on O O O
my O O B-LOCATION
route O O I-LOCATION

do O O O
you O O O
have O O O
directions O O O
for O O O
olive O O B-RESTAURANT_NAME
garden O O I-RESTAURANT_NAME

do O O O
you O O O
have O O O
directions O O O
for O O O
wendys O O B-RESTAURANT_NAME

do O O O
you O O O
have O O O
directions O O O
to O O O
burger O O B-RESTAURANT_NAME
king O O I-RESTAURANT_NAME

do O O O
you O O O
have O O O
directions O O O
to O O O
dennys O O B-RESTAURANT_NAME

do O O O
you O O O
have O O O
directions O O O
to O O O
the O O O
closest O O B-LOCATION
arbys O O B-RESTAURANT_NAME

do O O O
you O O O
have O O O
directions O O O
to O O O
the O O O
nearest O O B-LOCATION
deli O O B-CUISINE

do O O O
you O O O
have O O O
information O O O
on O O O
wheelchair O O B-AMENITY
accommodations O O I-AMENITY
at O O O
watsons O O B-RESTAURANT_NAME
family O O I-RESTAURANT_NAME
diner O O I-RESTAURANT_NAME

do O O O
you O O O
have O O O
listings O O O
of O O O
diners O O B-CUISINE
in O O O
the O O O
area O O B-LOCATION

do O O O
you O O O
have O O O
the O O O
address O O O
for O O O
fontinas O O B-RESTAURANT_NAME

do O O O
you O O O
have O O O
the O O O
number O O O
for O O O
the O O O
closest O O B-LOCATION
outback O O B-RESTAURANT_NAME

do O O O
you O O O
have O O O
to O O O
pay O O O
seperate O O O
for O O O
condiments O O O
at O O O
jimmy O O B-RESTAURANT_NAME
johns O O I-RESTAURANT_NAME

do O O O
you O O O
know O O O
a O O O
place O O O
where O O O
i O O O
can O O O
take O O O
a O O O
date O O B-AMENITY
for O O O
espresso O O B-DISH

do O O O
you O O O
know O O O
how O O B-PRICE
much O O I-PRICE
the O O O
chilli O O B-DISH
is O O O

do O O O
you O O O
know O O O
if O O O
any O O O
pizza O O B-CUISINE
store O O I-CUISINE
in O O O
the O O O
financial O O B-LOCATION
district O O I-LOCATION
delivers O O B-AMENITY

do O O O
you O O O
know O O O
if O O O
any O O O
place O O O
sells O O O
german O O B-CUISINE
food O O O

do O O O
you O O O
know O O O
if O O O
any O O O
restaruant O O O
have O O O
a O O O
rewards O O B-AMENITY
card O O I-AMENITY
that O O O
will O O O
give O O O
free O O O
food O O O
after O O O
a O O O
required O O O
amount O O O
of O O O
visits O O O

do O O O
you O O O
know O O O
if O O O
any O O O
restaurant O O O
will O O O
validate O O B-AMENITY
parking O O I-AMENITY
for O O O
eating O O O
downtown O O B-LOCATION

do O O O
you O O O
know O O O
if O O O
cantinas O O B-RESTAURANT_NAME
have O O O
a O O O
website O O B-AMENITY

do O O O
you O O O
know O O O
if O O O
i O O O
can O O O
get O O O
some O O O
barbeque O O B-CUISINE
on O O O
swan O O B-LOCATION
street O O I-LOCATION
for O O B-HOURS
lunch O O I-HOURS

do O O O
you O O O
know O O O
if O O O
i O O O
can O O O
use O O B-AMENITY
my O O I-AMENITY
american O O I-AMENITY
express O O I-AMENITY
at O O O
the O O O
taco O O B-CUISINE
stand O O I-CUISINE
on O O O
willow O O B-LOCATION

do O O O
you O O O
know O O O
if O O O
indigo O O B-RESTAURANT_NAME
have O O O
a O O O
liquor O O B-AMENITY
license O O I-AMENITY

do O O O
you O O O
know O O O
if O O O
lees O O B-RESTAURANT_NAME
kitchen O O I-RESTAURANT_NAME
is O O O
open O O B-HOURS
late O O I-HOURS
and O O O
serve O O O
bar O O B-AMENITY
food O O I-AMENITY

do O O O
you O O O
know O O O
if O O O
martys O O B-RESTAURANT_NAME
is O O O
open O O O
on O O O
sundays O O B-HOURS

do O O O
you O O O
know O O O
if O O O
omahas O O B-RESTAURANT_NAME
has O O O
parking O O B-AMENITY

do O O O
you O O O
know O O O
if O O O
ravers O O B-RESTAURANT_NAME
offers O O O
delivery O O B-AMENITY

do O O O
you O O O
know O O O
if O O O
reopsteria O O B-RESTAURANT_NAME
miguelina O O I-RESTAURANT_NAME
serves O O O
beer O O O
and O O O
is O O O
in O O O
walking O O B-LOCATION
distance O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
sams O O B-RESTAURANT_NAME
have O O O
a O O O
wine O O O
list O O O

do O O O
you O O O
know O O O
if O O O
the O O O
chinese O O B-CUISINE
restaurant O O O
on O O O
king O O B-LOCATION
street O O I-LOCATION
have O O O
outdoor O O B-AMENITY
parking O O I-AMENITY

do O O O
you O O O
know O O O
if O O O
the O O O
french O O B-CUISINE
restaurant O O O
on O O O
king O O B-LOCATION
street O O I-LOCATION
have O O O
a O O O
dress O O B-AMENITY
code O O I-AMENITY

do O O O
you O O O
know O O O
if O O O
the O O O
kfc O O B-RESTAURANT_NAME
on O O O
madison O O B-LOCATION
drive O O I-LOCATION
has O O O
a O O O
drive O O B-AMENITY
through O O I-AMENITY

do O O O
you O O O
know O O O
if O O O
the O O O
mcdonalds O O B-RESTAURANT_NAME
on O O O
kammer O O B-LOCATION
street O O I-LOCATION
accepts O O O
american O O O
express O O O

do O O O
you O O O
know O O O
if O O O
the O O O
mexican O O B-CUISINE
joint O O O
on O O O
southside O O B-LOCATION
kid O O O
friendly O O O

do O O O
you O O O
know O O O
if O O O
the O O O
mi O O B-RESTAURANT_NAME
tierra O O I-RESTAURANT_NAME
restaurant O O O
that O O O
is O O O
close O O B-LOCATION
by O O I-LOCATION
has O O O
ample O O B-AMENITY
portions O O I-AMENITY

do O O O
you O O O
know O O O
if O O O
the O O O
pizza O O B-RESTAURANT_NAME
shop O O I-RESTAURANT_NAME
on O O O
tribeca O O B-LOCATION
takes O O B-AMENITY
credit O O I-AMENITY
card O O I-AMENITY

do O O O
you O O O
know O O O
if O O O
the O O O
red O O B-RESTAURANT_NAME
lobster O O I-RESTAURANT_NAME
in O O O
seminole O O B-LOCATION
is O O O
still O O B-HOURS
open O O I-HOURS

do O O O
you O O O
know O O O
if O O O
the O O B-RESTAURANT_NAME
waffle O O I-RESTAURANT_NAME
house O O I-RESTAURANT_NAME
still O O O
serves O O O
their O O O
famous O O B-DISH
beef O O I-DISH
soup O O I-DISH

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
african O O B-CUISINE
restaurants O O O
in O O B-LOCATION
the O O I-LOCATION
area O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
burmese O O B-CUISINE
close O O B-LOCATION
by O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
michelin O O B-RATING
starred O O O
restaurant O O O
around O O B-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
mongolian O O B-CUISINE
restaurants O O O
around O O B-LOCATION
here O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
restaurants O O O
by O O B-LOCATION
the O O I-LOCATION
stadium O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
restaurants O O O
have O O O
specials O O B-AMENITY
for O O I-AMENITY
seniors O O I-AMENITY

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
restaurants O O O
in O O B-LOCATION
the O O I-LOCATION
mall O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
restaurants O O O
on O O O
the O O O
waterfront O O B-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
restaurants O O O
or O O O
cafes O O O
with O O O
outdoor O O B-AMENITY
seating O O I-AMENITY
open O O B-HOURS
that O O O
are O O O
close O O B-LOCATION
to O O I-LOCATION
me O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
are O O O
any O O O
sports O O B-CUISINE
bars O O I-CUISINE
restaurants O O O
where O O O
i O O O
can O O O
watch O O B-AMENITY
the O O I-AMENITY
game O O I-AMENITY
near O O B-LOCATION
my O O I-LOCATION
hotel O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
is O O O
a O O O
boston O O B-RESTAURANT_NAME
market O O I-RESTAURANT_NAME
in O O B-LOCATION
the O O I-LOCATION
area O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
is O O O
a O O O
chinese O O B-CUISINE
restaurant O O O
around O O B-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
is O O O
a O O O
columbian O O B-CUISINE
restaurant O O O
in O O B-LOCATION
the O O I-LOCATION
area O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
is O O O
a O O O
fine O O B-CUISINE
dining O O I-CUISINE
restaurant O O O
in O O O
the O O O
theater O O B-LOCATION
district O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
there O O O
is O O O
a O O O
group O O B-AMENITY
dining O O I-AMENITY
restaurant O O O
that O O O
serves O O O
mashed O O B-DISH
potatoes O O I-DISH
and O O O
french O O B-DISH
fries O O I-DISH

do O O O
you O O O
know O O O
if O O O
there O O O
is O O O
a O O O
restaurant O O O
close O O B-LOCATION
by O O I-LOCATION
that O O O
is O O O
not O O B-PRICE
too O O I-PRICE
expensive O O I-PRICE

do O O O
you O O O
know O O O
if O O O
there O O O
is O O O
a O O O
seafood O O B-CUISINE
restaurant O O O
that O O O
also O O O
has O O O
castering O O B-AMENITY

do O O O
you O O O
know O O O
if O O O
there O O O
is O O O
more O O O
than O O O
one O O O
location O O O
of O O O
mcdonalds O O B-RESTAURANT_NAME
by O O B-LOCATION
the O O I-LOCATION
airport O O I-LOCATION

do O O O
you O O O
know O O O
if O O O
tingles O O B-RESTAURANT_NAME
validate O O B-AMENITY
parking O O I-AMENITY

do O O O
you O O O
know O O O
if O O O
zaxbys O O B-RESTAURANT_NAME
has O O O
a O O O
prix O O B-AMENITY
fixe O O I-AMENITY
menu O O I-AMENITY

do O O O
you O O O
know O O O
of O O O
a O O O
place O O O
that O O O
has O O O
both O O O
donuts O O B-DISH
and O O O
chinese O O B-CUISINE
food O O O

do O O O
you O O O
know O O O
of O O O
any O O O
cheap O O B-PRICE
restaurants O O O

do O O O
you O O O
know O O O
of O O O
any O O O
filipino O O B-CUISINE
takeout O O B-AMENITY
places O O O
near O O B-LOCATION
here O O I-LOCATION

do O O O
you O O O
know O O O
of O O O
any O O O
good O O B-RATING
all O O B-AMENITY
you O O I-AMENITY
can O O I-AMENITY
eat O O I-AMENITY
sushi O O B-CUISINE
buffets O O B-AMENITY
that O O O
arent O O B-PRICE
too O O I-PRICE
expensive O O I-PRICE

do O O O
you O O O
know O O O
of O O O
any O O O
good O O B-RATING
restaurants O O O
that O O O
serve O O O
spaghetti O O B-DISH

do O O O
you O O O
know O O O
of O O O
any O O O
places O O O
near O O O
here O O B-LOCATION
that O O O
serve O O O
chinese O O B-CUISINE
food O O O

do O O O
you O O O
know O O O
of O O O
any O O O
restaurants O O O
that O O O
serve O O O
kosher O O B-CUISINE
food O O O

do O O O
you O O O
know O O O
of O O O
any O O O
restaurants O O O
that O O O
will O O O
serve O O B-AMENITY
a O O O
large O O B-AMENITY
party O O I-AMENITY
without O O I-AMENITY
a O O I-AMENITY
reservation O O I-AMENITY

do O O O
you O O O
know O O O
of O O O
any O O O
vegeterian O O B-CUISINE
restaurants O O O
in O O O
the O O O
vicinity O O B-LOCATION

do O O O
you O O O
know O O O
the O O O
health O O B-RATING
ratings O O I-RATING
of O O O
restaurants O O O

do O O O
you O O O
know O O O
the O O O
hours O O O
for O O O
red O O B-RESTAURANT_NAME
lobster O O I-RESTAURANT_NAME

do O O O
you O O O
know O O O
the O O O
name O O O
of O O O
that O O O
place O O O
that O O O
advertises O O O
5 O O B-PRICE
pepperoni O O B-DISH
pizza O O I-DISH

do O O O
you O O O
know O O O
the O O O
name O O O
of O O O
that O O O
restaurant O O O
that O O O
is O O O
owned O O O
by O O O
that O O O
famous O O O
chef O O O
by O O B-LOCATION
the O O I-LOCATION
waterfront O O I-LOCATION

do O O O
you O O O
know O O O
what O O O
restaurant O O O
has O O O
a O O O
great O O B-RATING
reputation O O I-RATING
about O O O
its O O O
menu O O B-RATING

do O O O
you O O O
know O O O
what O O O
restaurants O O O
nearby O O B-LOCATION
can O O O
accommodate O O O
a O O O
large O O B-AMENITY
childrens O O I-AMENITY
birthday O O I-AMENITY
party O O I-AMENITY
on O O O
a O O O
saturday O O B-HOURS

do O O O
you O O O
know O O O
what O O O
the O O O
prices O O O
are O O O
at O O O
mcdougals O O B-RESTAURANT_NAME

do O O O
you O O O
know O O O
what O O O
the O O O
prices O O O
are O O O
for O O O
lombardis O O B-RESTAURANT_NAME

do O O O
you O O O
know O O O
what O O O
time O O O
burger O O B-RESTAURANT_NAME
king O O I-RESTAURANT_NAME
closes O O B-HOURS

do O O O
you O O O
know O O O
what O O O
time O O O
obriens O O B-RESTAURANT_NAME
open O O O

do O O O
you O O O
know O O O
what O O O
time O O O
the O O O
lunch O O B-HOURS
specials O O B-AMENITY
are O O O
over O O O
at O O O
china O O B-RESTAURANT_NAME
king O O I-RESTAURANT_NAME

do O O O
you O O O
know O O O
when O O O
rios O O B-RESTAURANT_NAME
open O O B-HOURS
every O O I-HOURS
day O O I-HOURS

do O O O
you O O O
know O O O
where O O O
a O O O
mexican O O B-CUISINE
restaurant O O O
is O O O

do O O O
you O O O
know O O O
where O O O
all O O O
the O O O
wendys O O B-RESTAURANT_NAME
are O O O

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
find O O O
a O O O
chinese O O B-CUISINE
buffet O O B-AMENITY

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
find O O O
a O O O
genuine O O O
italian O O B-CUISINE
restaurant O O O

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
find O O O
fine O O B-AMENITY
dining O O I-AMENITY
that O O O
is O O O
open O O B-HOURS
late O O I-HOURS

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
find O O O
homemade O O B-DISH
ice O O I-DISH
cream O O I-DISH

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
find O O O
some O O O
good O O B-RATING
appetizers O O B-DISH

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
get O O O
a O O O
cake O O B-DISH
to O O O
surprise O O O
my O O O
wife O O O
on O O O
her O O O
birthday O O O

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
get O O O
a O O O
good O O B-RATING
burger O O B-DISH
and O O I-DISH
fries O O I-DISH

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
get O O O
a O O O
taco O O B-DISH

do O O O
you O O O
know O O O
where O O B-LOCATION
i O O O
can O O O
get O O O
an O O O
excellent O O O
margarita O O B-DISH

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
get O O O
some O O O
good O O B-RATING
sushi O O B-DISH

do O O O
you O O O
know O O O
where O O O
i O O O
can O O O
sushi O O B-DISH
this O O B-HOURS
late O O I-HOURS
at O O I-HOURS
night O O I-HOURS

do O O O
you O O O
know O O O
where O O O
the O O O
cheesecake O O B-RESTAURANT_NAME
factory O O I-RESTAURANT_NAME
is O O O
located O O O

do O O O
you O O O
know O O O
where O O O
the O O O
closest O O B-LOCATION
country O O B-RESTAURANT_NAME
